Description,Rating
"Cute little cafe located in Inner Sunset! I came here on a Sunday afternoon and absolutely loved the Iced Matcha Latte I ordered. Yay for paper straws!I would recommend this spot if you want to grab a quick drink, catch up with a friend, or get some reading/studying done. Check it out!",5.0 star rating
"Maybe the worst iced matcha latte with almond milk I have ever had. Came here based off of their reviews. Waste of almost $6. There were chunks at the bottom, maybe 4 ice cubes that melted as soon as I got to my car. Might try this place again for their coffee and will update my review then but never for their matcha. Threw it away and went to Starbucks down the street for a better matcha latte.",1.0 star rating
"Hollow is an independent cafe. I have stopped by like 3 times by walking by...and it turned out to be closed each time. For some reason, I couldn't coordinate my visits with their business hours. They are closed two days of the week. The menu is interesting and crafty. I decided on the matcha green tea latte! It was smooth and had a nice texture to the drink. It had a matcha green color that seemed natural and not made of food dye. It had a white heart inlay. It took a while for it to be made, but I made it. I had the drink in the cafe. I asked about the pastries and saw a blueberry muffin, scone, and they have empanadas. I could get an empanada another time. Then the lady decided to chop up some of her muffin cake to try. I had some pieces of the cake and it was good. So I gave her an extra star instead of four stars because she chopped up some samples of the pastry for me to try! Good tactic. Here's to you Hollow!",5.0 star rating
"My mama and Blockbuster Video both taught me a common lesson growing up. Be kind, please rewind.So instead of a review, I leave a haiku.Customer service.It is very hard to do.Tiny tiny spot.",2.0 star rating
"Care to take an IG picture or get a quality cup of joe? Unfortunately, you can't get both here. Three baristas and two customers, yet it took 10 minutes to whip up a latte. The coffee beans were lackluster and unfortunately didn't shine through. It was basically steamed milk for $6.00. The large size is more like a medium size here at Hollow. It appeared to be a  ""hollow"" cup.Not to mention, the bottom of the cup had speckles of coffee grain. It wasn't filtered out! It seems like the baristas need more training or perhaps give extra attention in preparing coffee. I love supporting small locally owned businesses, but unfortunately this is one that I can not recommend.",1.0 star rating
"Support Local! Love their coffee. Today I tried their double shots vanilla bean latte. Come during weekday, not crowed. Very cozy. Good place for coffee.",5.0 star rating
"Love this small , charming cafe .High quality beverages & wonderful baked goods .Some new drink items , ""the titanic ""looks so good .They have had an unusual and really amazing Oatmeal cake from a small bakery in San Jose , from when they first opened , so happy , they always stock it .it's unique, more like toasted coconut coffee cake , sort of ??it reminds me of a pastry we have had in Hawaii , it's flavorful & scrumptious!Today we had warm banana bread , omg ,So good & a generous slice , plenty to share .Check it out , just learning about back area seating , all the years , I never knew this .Have to check that out .Staff very accommodating, funny and just plain NICE !",5.0 star rating
"This cafe is small and cute. I loved the green exterior which definitely stood out as you walked by. I had the Matcha spiced latte with their homemade marshmallow. The drink sounds weird, but the combination of flavors paired beautifully. You can skip on the marshmallow, which was way too sweet.",4.0 star rating
"Tiny coffee and tea spot with a few baked treats and empanadas for food. Super cute green painted front with a bench and inside a few tables and chairs to eat/drink/work at. Mostly a Local pop in for real coffee. My cold brew was strong but not acidic. My kids had a Chai Latte and Vanilla Bean Latte and I've never see them finish before me,but they did! That's how good it was. While in this neighbor there's some good food to be had and dumpling shopping nearby. Parking is metered but there's some construction that currently limits the spaces. This place can get busy but also chill back down quickly. Surprised to hear they have been there for 9 years already.",4.0 star rating
"What started as a quick detour to grab a cup of coffee resulted in a pleasant distraction we did not regret having at all.Real, tiny coffee shop that isn't hard to miss due to its rustic, modern SF look. I swear the storefront can look like the shed in the back of anybody's house but there's definitely more than meets the eye when you realize upon entry. The shop fits over what you'd expecting looking from the outside. Anyways, the coffee was a great pick me up, we decided to pick up the vanilla bean latte and the butterscotch latte. What stood out the most were their selection of sweets. I let temptation best me when I decided to nab one of their cashew cookies... It only led to regret in not grabbing my seconds first. Ah... I'll leave it at that.",4.0 star rating
"This is a great spot to sit and escape from the craziness that is residency... if you just want to get away from everything, you should check out this adorable spot! It's so peaceful and you'll be able to enjoy a nice drink. My only complaint is that the benches in the back are very unstable. Yes, there's seating in the back! I love the rustic look but those benches have to be a safety hazard hahahahaa. I'm totally joking but I would prefer more comfy seats :P. I wanted a matcha latte but failed to realize they have a spiced matcha latte. But it was a pleasant surprise! It's a very nice level of spice and I would def get it again.",3.0 star rating
"TIME: Sunday @1pmSTAFF: Super niceATMOSPHERE:This place is a LOT smaller than I expected! There's not much seating room, unless you don't mind being in the cave room in the back. The only ""outdoor seating"" they have are benches right or front.WHAT I HAD:LARGE FRENCH PRESS COFFEE - $4Smooth tasting hot coffee. Can't complain!MUSHROOM EMPANADA - $5.50This place serves a variety of empanadas and I chose this one because of the ricotta cheese. It was quite tasty and quite small--which made it feel pricey. All the pastries at the cashier was exposed and I'm unsure how many people ordering had their saliva sprayed on them. I would prefer seeing them covered. As cute as this place may be, it's not a comfortable spot to sit and do work.  Some tables are too low and there is no wi-fi.",3.0 star rating
"Honestly I'm shocked at how someone can mess up latte art with 2% milk... I've seen photos of this place everywhere and it looked so cute! May have been the barista but I was highly disappointed. Not only that, but the latte itself just tasted like plain milk. Seating - very limited space which I didn't mind because it is sf. Only problem I had was how wobbly these tables are, saw previous reviews about this and I guess they never bothered to fix it.Gave this place 2 stars because at least the food was good - I had the chamomile cupcake and the oatmeal cake. Didn't taste any chamomile in the cupcake but it wasn't bad. Not sure if I want to spend $20 again on two drinks and two pastries, but I guess this is sf haha",2.0 star rating
"I am going to sound super childish, but I could not get over how cute and clever ""The Titanic"" was. It's literally the dark mocha but with a huge square marshmallow. With how pleased I was with this drink, I will definitely be back to try all of the other coffees. This coffee shop has to be one of my favorites. Maybe I came on a slow day, but the ambiance made me feel so comfortable and relaxed. There is a back area for extra seating but I chose to sit by the lit up windows and just people watched. Coffee gives me life by this coffee gave me life with a smile.",5.0 star rating
"Cute little cafe in inner sunset!This place is very tiny but super cute and well-decorated. I got small size Titanic II (mocha with homemade marshmallow $7ish) and it was amazing but pricey. I like how they came up with that name though! so unique and cute! My friend got matcha latte($4.50) and it was good but just average matcha latte to me. I've had better one elsewhere. I wish they have more seatings as they can get really crowded on weekends! Great place to chill and study on weekdays though.It's worth a visit, but I don't think I will come here regularly.",4.0 star rating
"Best Cafe in Town!!! Thumbs up emoji x 100!!Usually 3 things i look for when i try to critique a cafe. Ambiance, Taste, and service. All really good! I got vanilla bean latte, which was pretty damn good, and a caramel/butterscotch glazed cake/bread! It's displayed in the front of the cashier. That cake was just amazing. It tasted even better with the vanilla bean latte. I like it very much when my drink and pastry just blends in well! The owner was very friendly and so was the barista. I think its usually just the owner and one worker working together. I've been here twice. It also seemed like most of the customers here are regulars. As a tourist, i highly recommend coming here for a grab in the morning and find a bird (scooter) and go inside the golden gate park! It's what i did and remains as the favorite part of my trip!",5.0 star rating
"When I got back from my semester abroad at the end of my junior year in college, I was an absolute nightmare for everyone around me. (Consider this Yelp review a belated apology.) One of my friends, who had just returned from her own stint abroad, was also pretty down in the dumps with reverse culture shock. We decided to vent to each other over a coffee break here, since we had heard Hollow was the epitome of minimalism with a more rustic IKEA vibe. I brought an IKEA catalog with me because I felt like we needed some European reading material to peruse.I didn't study abroad in Sweden. And my friend wasn't even abroad in Europe.Ah, the naiveté of youth! The vanilla bean latte was just warm and sweet enough to soothe my no-longer-abroad heart. My friend didn't have any complaints about her spiced matcha green tea latte. (She stayed on brand since she studied abroad in Japan.) The only other person there was on his laptop, trying to work in a coffee shop that didn't offer wifi, so in other words, he heard every word of our rant on the abominable American car culture.Come here if you want to catch up with friends, not if you want to be productive, because you'll probably get distracted by a bunch of entitled millennials. Too bad they can't be thousands of miles away from you in some foreign country, huh?",4.0 star rating
"I love this place so much! It's a block from my apartment and I feel so lucky to have it as my local coffee spot. The drinks and pastries are all delicious, they let me bring my dog in, there's outdoor seating, and it's cozy AF. The best part of this place though is the people who work here. I'm not sure how this owner screens his applicants but bravo because every individual who works here has such a kind calm soul.Thank you Richfield for keeping me caffeinated and happy.",5.0 star rating
"Super sad/disappointing - they have DISCONTINUED the ricotta toast. (they said they were replacing it with something soon.Service was painfully slow. looks like the avocado is smashed to order - which maybe I would enjoy - but since they get an order for it every other customer - maybe make a batch for 15 toasts, then start again - it would still be super fresh - but faster.We ordered the avocado toast and the breakfast sandwich (it was light on bacon - maybe 1.5 slices), a chai and a mocha. It was about $25. we left hungry.The water glasses could be used as thimbles - seriously I have never seen smaller glasses.",2.0 star rating
"The Richfield is a great local coffee shop with a good amount of outdoor seating to relax at!  I've gotten the cold brew ($4.50) a couple of times and it tasted a bit lighter than what I'm used to getting at other places, but it was still smooth and pretty good.  Something I super appreciate and love about this place is that they serve their cold brew with coffee ice cubes so your drink doesn't get watered down!  It's such a small and easy thing to do, but I've never seen any other place do this before.  It really shows that they care about their product and it shows they care about their customers' satisfaction.The couple of times I've been here, the toast has been sold out unfortunately.  I usually come later in the afternoon, so I'll be sure to make a visit earlier in the day sometime to try those out!  Definitely recommend a visit if you're ever in the area.",5.0 star rating
"Spic and span, simple but delicious coffee inspired by a Chicago Boxing Match; unfortunately the first time Ali was defeated. Historic news clips and some memorabilia spot the walls, and some mellow hip hop playing this afternoon. Close to the laundromat. Grab a latte to sip and pass the time!",5.0 star rating
"I was in the area and wanted a coffee and stumbled upon this place. The Richfield is a small little coffee shop in the Inner Richmond district. There are a few tables inside and outside, and they offer free WiFi. There is a nice vibe here, I saw a couple people chilling and some doing work! I looked at the menu and ordered the Cold Brew. The Cold Brew was good, smooth and not too bitter. It came with coffee ice cubes, a very nice touch to keep the ice from diluting the drink.I came on a weekday afternoon and found street parking fairly easily. The staff was nice and friendly. Convenient neighborhood coffee shop to visit if you're ever in the area!",5.0 star rating
"Definitely a good spot if you have a minute to relax or even on the go, The Richfield has you covered. I'm more of a cold brew coffee guy but I do occasionally get a matcha latte, the bf usually gets a flat white and something else I can't remember lol..oh and the chocolate banana muffin is good as wel",5.0 star rating
This place is great!  Cozy neighborhood spot perfect for a midday pick me up. The service is always on point. The guys here are always attentive ready to serve and help. They actually seem like they really enjoy what they are doing:RARE.  I've never had a bad experience here. I only get the americanos or coffee with espresso that's my thing.,5.0 star rating
"Great little cafe. And when I say little.... like tinyyyy. Super friendly people. Good coffee too, I tend to be pretty picky and they have my approval. Also avocado toast.... no need to say more. I wish I lived nearby to walk to this place each morning.",5.0 star rating
"Love this place! Coffee is great and service is consistently friendly. Place is tiny, but that doesn't mean there's no atmosphere. It's casual here and I love the green walls. Parking is not easy if you're not in the neighborhood already. Came here recently on a Saturday morning and there were families, groups, individuals, everyone in the neighborhood basically coming over to Richfield. I'm assuming you will be next! I ordered a latte and banana bread. Everything came out to $8 total. Delicious everything!",5.0 star rating
What a cute little coffee shop! It's pretty easy to miss as it's in a funny triangle at California and 5th. This is what good coffee should taste like.After living in Australia for a number of years I'm always on the lookout for a real Aussie style flat white and this did not disappoint. Exactly the right size and the espresso was smooth and perfect. I was only visiting SFO for a couple of days and made sure to come back 2 mornings in a row to get my FW. I found them on Yelp and they definitely earn the great reviews.,5.0 star rating
"I have been to many coffeehouse while traveling and few of them make a quality cup of coffee.  Richfield does not disappoint.  Our group had lattes, a flat white, and an Americano.  All of these had the correct ratio of milk to espresso, or water to espresso, along with correctly pulled shots. The baristas obviously love coffee and put that love into each cup.",5.0 star rating
"Brekkie Sandwich - lives up to the hype.  Simple ingredients, but delicious.Cold Brew - they use ice cubes made with coffee to keep the brew from tasting watered down as you savor every sip.  So novel and simple that not even the big coffee chains do it.  Props to The Richfield on that.Seating - they promptly opened at 7:30 and I got one of the few seats inside.  Enjoyed a good book while eating and drinking.  Small interior, but very relaxing.Will try their Avocado Toast and a hot brew next time...",5.0 star rating
"Have you even gone to a coffee shop and asked ""May I get a cup of coffee"" and received the snooty response ""well, this IS a coffee shop.""?  I have a couple of times over the years and don't really appreciate the sarcasm, particularly when I still haven't had my morning cup.  And while I haven't been given this response at The Richfield, I feel like they want to say that.  If you ask for a cappuccino or latte with non-fat milk (as my SO often does) you are at the very least told that they don't have non-fat, but might be told the additional detail that non-fat milk doesn't make quite a proper type of foam.  Don't get me wrong, we like the Richfield food and coffee and enjoy the boxing theme and old copies of The Ring magazine to browse.  And the location is sort of cool - what for years was a wedge shaped island off of California is now a small 2 story building with The Richfield in the lower floor.The breakfast items are tasty and well made, the coffee drinks are good (though I have a couple other preferences in SF).  So we stop in when we are in the area and in need of a bite or coffee.  Prices are a touch high, but not out of line.  They don't seem big on substitutions, and if you want almond milk be prepared to fork over another $0.75 for your drink.  And ask for Earl Grey tea (the preference of my SO) and they may look down on you as being too pedestrian (which is funny because there is no parking in the area so only pedestrians can get there).It just seems that they have a bit of an attitude - maybe it's the boxing décor that brings it out in them.  Hopefully it won't turn people off from going there - though there is a bit of competition in the area with Beanstalk, Blue Danube, and Cumaica all within a block or three.  I expect a bit of attitude in the Marina or SOMA, but not in Inner Richmond.So 5 stars for the food and boxing theme, 4 for the location and coffee, 3 for the limited tea selection and perceived attitude.  A 4 star review.",4.0 star rating
"I love this tiny coffee shop in the median of an intersection. It's a cute neighborhood spot to pop in for a coffee or a snack.I just get whatever latte or ice coffee drink that I'm feeling that day, and (if I'm lucky), snag a seat at one of the 3 tiny, 2-3 person tables they have. When the weather is nice, sometimes there are 2, 2-seater tables outside.They also have a little counter that I've seen some people stand at to do work. I personally don't find the environment conducive to working, but it's fun to people watch and read a little on a slow day. I also tend to prefer small cozy coffee shops to large ones.The service is friendly, the drinks are pretty average (though they have a few interesting selections and a large variety of tea), and the food is pretty unique. I think the breakfast sandwich is popular (but not a stunner, according to my NYC-breakfast-sandwhich-loving friend). I have also tried the sesame ricotta toast topped with strawberries, coconut flakes, and honey. It's an interesting combination, and I enjoyed it, but I'm not sure if it completely worked. Maybe in strawberry season, when the strawberries are a little more naturally sweet, it would make sense.Almond milk is extra and they will remind you like Chipotle employees remind you that guac is extra.",5.0 star rating
I don't write many of these but I had to write about my experience at the Richfield. As soon as I walked in I was greeted with a friendly smile and my order was taken right away. The place is tiny but has a comfy atmosphere. When my latte was ready it was brought out to me with another friendly greeting. Everyone here (employees and customers) seem comfortable and pleasant. The drink itself was excellent and the milk was super foamy. The almond croissant I got was also very good. There's also some outdoor seating to enjoy the weather when it's nice. Not a great place for working but if you just need a good drink and a place to read/hang out this place should be considered.,5.0 star rating
"Great for a quick brunch or coffee on the go! My beau and I grabbed two brekkie sandwiches and a couple of coffees to-go, but ended up eating outside when a table opened up. If you're looking to meet with a friend for a chat, or just enjoy the Sunday paper and have a nice morning to yourself, The Richfield definitely works for both.",5.0 star rating
"The avocado  toast was amazing! Paired it with the matcha  great combo. The service was questionable... me: walk in Cashier: stares at meMe: *waiting on the ""hey what can I get you""Cashier: continues to stare. Me: uhhh hi may I get a ... Cashier: your name? Okay sign here .I'm like wtffff.. not going to judge. Maybe this is how things flow here. None of the stafff were smiling, shoooot. I'd be. Coffee and breakfast food all morning is heaven. Pricey but worth the food. Experience could been better. I'll be back maybe I'll get a what's up what can I get you next time.",3.0 star rating
"Even if it was just a little neighborhood coffee spot with nothing more than their amazing beverage selection and some generic muffins, the charming ambiance, tasty coffee, and friendly service would still probably earn it five stars in my book. But what takes The Richfield above and beyond is their unique and delicious food menu. I was obsessed with the black sesame ricotta toast topped with fresh strawberries and coconut. I've never seen this combo anywhere else but as soon as I spotted it on the menu it was a where-have-you-been-all-my-life type of moment! Though it's teeny with just a few small tables, it's a great addition to this neighborhood and I'm jealous of people who live in the area and can stop by on the regular. I'll definitely be back on my next trip to SF!",5.0 star rating
"Super cute small coffee spot! The workers are very knowledgeable and helpful with the menu. they answered all my questions and helped me choose what to order. Not very much seating, but they have a counter to stand at as well as the several small tables. Would return!",5.0 star rating
3 stars because very few people like ice chunks in their ice cream.Got the affogato with the caramel ice cream and it had lots of ice crystals in it. Maybe I'm the only one ordering ice cream so the ice cream is old and cold and frozen over like Hell.The coffee shot on top was okay. A little bitter but overall not worth the $5 I paid.$4.50 plus 50¢ tip.Their coffee is on the strong side which isn't my particular taste. I'm more of a medium flavored coffee drinker. So overall 3 stars.,3.0 star rating
"Good boba is few and far between on my little island, so I always try to get my fix while traveling.  The brightly colored instagram worthy photos at Black Sugar caught my eye and piqued my interest.  After scrolling through the photos, they had me at mango matcha latte.  I love the strawberry matcha boba from another popular joint up the street, so this was right up my alley.  Much like their shop, they have a small, but sufficient menu that includes choices of milk teak, fruit tea, fresh milk, matcha, & coffee.  Their favorite flavors are on the left and you have the option to choose the level of sweetness for your drink.  Skimping on sweetness is pretty much blasphemy for me, so you know 100% sweet all the way!  They even have liquid cane syrup available for that extra sugar overload.Being a lover of all things mango, I went with the mango matcha latte of course and tried it without mixing it first just to see.  Got a straight shot of that sweet boba goodness and it was yuuuumm!  They were the perfect consistency, chewy and not overcooked.  I mixed it up as instructed and wow, I am a fan!  I loved that mango flavor which seemed thicker than the matcha layer (or it could've been the boba syrup?) and it was just divine. My friend & I loved it so much we went back for a second round of drinks before catching our flight!  The second time, I got it extra sweet, and yep, good decision.  Can't have too much sugar.  Ever.So, if you're staying in the Union Square area & love boba, GO NOW.  This shop is easily accessible and there's no line.  Don't blink though or you may miss it!  It's tiny with room to seat only four patrons, but definitely worth the stop.",5.0 star rating
"Whaaat, this place is different from the typical boba places that I have been to. They have different flavors that I would have never thought of doing plus a few standard ones.First time here, I tried the matcha sesame latte. It had the perfect blend of all the ingredients. Forwarding on this drink... you will get sesame in your teeth, so be sure to have some floss.. lol. The boba is cooked perfectly and has a slight sweetness to it. With this being said, I thought it gave the perfect sweetness to my drink (I requested no sugar) This has by far been my favorite drink in San Fran.Second time I came, I tried the mango matcha latte. It was very pretty and flavorful, yet I still loved the matcha sesame better. Other flavors I tried were pear green tea and the lychee green tea. The pear tea was sooooo good! The lychee was also a nice refreshing drink and has pieces of lychee in it.Now, I will try and find a place in my home town that serves up drinks this delicious and creative!",5.0 star rating
"The Mango Matcha Latte reminded me of a variation of the Strawberry Matcha latte at Boba Guys.  I ordered the Mango Matcha Latte at 70% sweetness with boba.  At first sip, you could taste a good mix of the mango and matcha, neither being too overpowering.  The boba however stood out to me as it seemed to be sweeter than the actual drink.  The boba was quite firm but not too soft.  The cup that the drink came in was cute and something that could possibly be reused.   The service was quick and prompt.  I came in on a Tuesday afternoon so it wasn't too busy.  I would suggest this place if you're looking for somewhere to sit for a while as they only have about 4 stools available.  Overall, I would suggest this place if you're in the area or if you're like me and you're always seeing pictures on Instagram of this place!  Definitely worth a try!",4.0 star rating
"Cold brew matcha latte and roasted oolong are delicious. Fruity teas are great as well. This place has good drinks, but be warned it's tiny. If you need a place to sit and chill you can always pop into the Hilton across the street.",5.0 star rating
"So f'ing good the first time - five stars. The second time was not as good - four stars.I'm conflicted because the first black sugar fresh milk with pearls/boba $4.45 was so damn good. The black sugar fresh milk tasted almost exactly like an ice caramel macchiato, which I miss since I can't have caffeine anymore. The boba texture was perfect. Bouncy and not too soft lol.The second time I visited, the flavor of the ""black sugar"" burnt sugar was weaker. The pearls were just as good as before. Both times we had about a ten minute wait after ordering because they were making the pearls. The freshness of their small-batch pearl preparation must be the key to the excellent texture. The taro milk with almond milk $4.95 is also a good option. They can't adjust the sweetness level because the taro and sugar is already pre-mixed, but not to worry -  it's not too sweet. The tall guy at the cash register has good customer service skills. I noticed he is careful to tell customers special instructions. It's still one of the top places for boba in the city for me even though I actually don't drink milk tea. I don't know how anybody finds parking around here. We take public transportation or a lyft to the mall/union square for shopping and then come here afterwards. There's an expensive parking garage next door. They only have four or so seats inside. Halal Guys is next door which is convenient in case you want to order some food to-go while you're waiting for the boba to be prepared.*I was wrong about a charge for almond milk. Management let me know that it's actually no extra charge for it. Thank you!They haven't addressed the plastic and/or recycling issue though. The thick plastic cups seem kind of wasteful especially since most people don't recycle them and the shop doesn't seem to recycle them either. The cups have survived my dishwasher and I've reused them multiple times - bpa be damned.",4.0 star rating
"Finally got the chance to come visit Black Sugar. We arrived on a Sunday morning a few minutes before it opened and there was already a couple waiting in front of us. Soon after, more people were gathered in line. I ordered the Taro matcha latte with boba (subbed almond milk). This drink comes with a non-customizable sweetness level but I did not think it was too sweet. I really appreciated that you can sub almond milk without an extra charge. They use real taro but it was smooth, not gritty. It added a thickness to the drink. Make sure to thoroughly mix your drink, which the cashier advised. The boba was a good chewiness and added a bit more sweetness to the drink. The matcha was very aromatic. i tried my fiance's black sesame milk and that was also really good. The black sesame was not too gritty when swallowed, like some places make it. Will try the black sugar fresh milk next time! Although the drink is on the pricier side, especially because it's like a 16oz size, I think you're getting a pretty high quality drink that tastes great. Only three or four seats along the window inside, so this is really a pick up and go type of shop.",4.0 star rating
"Yay work friends! My work friend had been away for a while but finally made it back into SF, so a celebratory drink was in order. He's a bubble tea fan, so he'd had this place scoped out.I got the matcha taro latte (I am quite susceptible to Yelp peer pressure, then always insta-regret it). Like all other boba shops, you can customize the sweetness (usually, although not on the matcha taro latte) and the ice. The regular sweetness was actually not super sweet, though I almost prefer my teas to be slightly bitter.The drink was aesthetically pleasing, with the light green matcha atop the silky purple taro. The taro was well pulverized into a powdery form, lightly sweetened, but didn't really stand out in any way (e.g., super taro-y). The matcha felt a bit powdery in my mouth (maybe the taro got into it somehow?). It didn't taste like the low-quality powder mix some spots use for matcha, but it also lacked the deep richness I crave in matcha. The outside of the boba was slick, and the inside also had that slickness mixed with the chewiness. Boba is lightly sweetened, but I always think that the sweeter the boba, the better (omg honey drenched boba). Not watered down.The shop itself is pretty small, just a counter for ordering and 4 bar stools by the window. Clean, simple white and wood aesthetic like many modernly designed shops these days. There was a line 10 deep at 1:30pm on Wednesday.Overall, drink was a nice after lunch pick-me-up, but I don't think I'd walk out of my way for it. Maybe I should try the namesake next time! 3.5/5 overall",4.0 star rating
By far the best boba spot I have tried while on my boba excursion on Saturday. This shop is pocket sized with a pretty small menu. There's like 4 seats that faces towards the window so take your drinks to go. You kind of can't hang out inside because it gets full fast. I ordered the Mango Matcha with boba and my sister had the Matcha with boba. Mine had a good balance of Matcha and mango which made the sweetness perfect. The boba was good too. There was one cashier calling out orders while someone else was in the back making drinks. They were getting through the line that kept building up. I appreciated the efficiency. They also have sugar on the side if your drink isn't sweet enough and my sister had to go to it a few times before enjoying her drink. The regular sweetness in San Francisco is so different from Vegas. I started questioning if my drinks are actually too sweet to begin with.,5.0 star rating
"One of the best boba places in SF (and at a much lower price point than most as well). Cheaper than boba guys, same quality matcha. Milk substitutions are free too!Black sesame matcha is my favorite so far, their milk drinks and house milk tea are great too. Service is quick and friendly - stop by if you're in the area!Other pros: close to the mall/union square, and Kin Khao",5.0 star rating
"One of the best boba places I've tried in SF hands down. This place may seem like an unassuming hole-in-the-wall, but boy are they a boba powerhouse. We ordered the matcha mango latte with 70% sweetness, and we received our drink in less than 5 minutes after ordering it. Although the drink itself was still very sweet (a bit too much for my liking), I really enjoyed the creaminess and richness of the milk. The balance between the mango and matcha was truly harmonious, and the flavors itself were pretty subtle. The pearls were amazing - the perfect bouncy texture and size, and nicely sweetened. I would love to come back and try their tea-flavored drinks. Come here if you want unique, high quality boba.",5.0 star rating
"Black Sugar are known for their Milk Teas like Latte & Matcha. My friend got the Milk Tea was perfectly sweeten and the boba was chewy and I also got the Lychee Peach with Lychee Jelly. It tastes similar to Pit Stop Boba at Westborough because they use real Lychee! They don't use plastic cups, they use a higher quality cup for matchas and latte. With a simple cute logo. The place is simple and not that big. Limited seating. Staff was super friendly! The guy at the cashier always ask customers how their drinks are! But it's a good grab to go boba stop.",5.0 star rating
"BLACK SUGAR FRESH MILK FTW!!! I was so excited to visit this place because of all the good things that my friends have been telling me. I came here on a Thursday afternoon around 4 PM and the place had a line already. The line does not seem too bad and moved pretty quickly. I waited for about 5 minutes with 10 people ahead of me and when I go to the cashier, the girl who helped me was very nice and explained to me how there are certain drinks on the menu cannot be adjusted (sugar level). I opted in for one of their top favorites - Black Sugar Fresh Milk with boba. The boba shop is not too big but it is big enough for a couple high chairs where you can sit and wait for your drinks to be made or have a quick chat. Anyways- the drinks did not take too long to make and when I got my drink I couldn't help but Instagram it with the cute little lucky cat wall that they have outside the boba shop. The drink was really good and the texture of the boba was cooked just right. Pricing is not outrageous either for it being in SF. I am glad that they opened it in a walking distance from Union Square/ DTSF. I saw alot of people ordered their Mango Matcha Latte with boba and that looked really IG worthy as well. Next time, I will definitely come back and check out their other drinks!",5.0 star rating
"Solid boba shop in the Powell/Tenderloin area. I ordered the Taro Matcha Latte with Califia Almond Milk and it was very creamy and flavorful. Not too sweet! I tried my friends drink and it was a little sweet for the both of us. They kindly offered to adjust the sweetness level :) The boba was a tad too soft at first but the cool drink cooled/hardened it in a few minutes. I wouldn't go out of my way to go to Black Sugar but if I was in the area and was craving milk tea or a matcha latte, I'd go back. Service is friendly and quick. Check it out!",4.0 star rating
"My first time in San Fran... nice city but where the heck are all my boba places?!?! Where the Asians at?  The fug?!?! After walking for what seemed like 10 miles... those dang hills! Finally tracked down this boba place - The ONLY boba place that's offering my #brownsugarbobamilk and boy was I disappointed. Cute shop, tiny, 4 bar stools... order & go.  Service was OK, not sure why no one was manning the counter - until the girl saw me waiting, then a guy popped out from the back and took my order. My drink takes no time to make - if you've had it, you'll know.  Took a quick 2 mins and got my drink. Here they call it ""Black Sugar Milk""... welp, the boba is not as soft as others I've had, puts WAAAYYY too much ice - making the balance of brown sugar boba vs. milk like 50% milk - 20% boba - 30% ice; so gone in 60 seconds.  Tsk Tsk.  This is what I'd call ""desperately seeking brown sugar boba"" and I was, otherwise, this is a skippo!",3.0 star rating
"A rather small hole in the way on the outside of a parking structure. Have been wanting to try this new boba spot and definitely not disappointed.I ordered a Matcha Sesame Latte, with boba and light ice. Recommendation is to stay at 100% sweetness and it was perfect. I loved the mixture of matcha and sesame. My cousin ordered for herself a classic black milk tea without boba at 70% sweetness. She preferred my matcha drink over her own drink. Next time I want to try their fruit drinks such as Mango Matcha and Peach tea.",4.0 star rating
"First timer! Came on a Wednesday, no wait & accidentally ordered a roasted milk tea...! After i realized my mistake i hurry and ask if its ok to change to mango matcha milk tea & paid a $.50 cent different~ pheww that was close! Ugh it was so good! Perfect sweetness in default level! I cant wait to be back . P.S: My girlfriend ordered a pineapple fruit tea, which was nothing special just very flavorful pineapple juice like.",5.0 star rating
"Top notch boba! I had their lychee green tea with boba (70% sweetness) and it was delicious. They said their 100% sweetness is not too sweet compared to other boba shops, and they were right. I usually get 25-50% sweetness, and 70% at this place was perfect. The boba itself is perfectly chewy and had a great dark, malty sweetness. I tried my friend's black sesame milk (with almond milk) and it was delicious as well. If you don't mind the grittiness that is normal with sesame, I highly recommend. It was sweeter than the green tea, so I'd go with 50%.All in all, tasty boba place. If I'm ever in the area, I'd stop by again.",5.0 star rating
"There aren't many places out there that do black sugar fresh milk with boba well. This is probably one of my favorite places that makes this type of drink. The black sugar and milk ratio is close to perfect and there is nothing else added except the black sugar and the milk, which I appreciate. No extra sugar or fillings. The boba is on the harder chewier side, so if you like that, this place is for you. I usually always get no ice for my drinks because I have sensitive teeth and I don't like drinking anything too cold. They only have a ""less ice"" option for this drink.... which I can never understand. Perhaps give the customers an option to add water instead of ice next time. Despite this, I still really enjoyed the drink and would recommend! Also, I felt like the prices were pretty reasonable. Interior: very small, there's a bar with maybe 4 seats that's right in front of the cashier. I can see lines flowing out of the store because there's no space! It's more of a grab and go type place. Service: the people were very nice and even asked me how the drink was!",4.0 star rating
